run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
SRR14180010	SAMN18651927	SRX10548216	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/010/SRR14180010/SRR14180010_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/010/SRR14180010/SRR14180010_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/010/SRR14180010	
SRR14180012	SAMN18651925	SRX10548214	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/012/SRR14180012/SRR14180012_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/012/SRR14180012/SRR14180012_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/012/SRR14180012	
SRR14180014	SAMN18651771	SRX10548212	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/014/SRR14180014/SRR14180014_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/014/SRR14180014/SRR14180014_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/014/SRR14180014	
SRR14180020	SAMN18651918	SRX10548206	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/020/SRR14180020/SRR14180020_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/020/SRR14180020/SRR14180020_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/020/SRR14180020	
SRR14180022	SAMN18651916	SRX10548204	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/022/SRR14180022/SRR14180022_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/022/SRR14180022/SRR14180022_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/022/SRR14180022	
SRR14180023	SAMN18651915	SRX10548203	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/023/SRR14180023/SRR14180023_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/023/SRR14180023/SRR14180023_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/023/SRR14180023	
SRR14180024	SAMN18651914	SRX10548202	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/024/SRR14180024/SRR14180024_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/024/SRR14180024/SRR14180024_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/024/SRR14180024	
SRR14180025	SAMN18651770	SRX10548201	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/025/SRR14180025/SRR14180025_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/025/SRR14180025/SRR14180025_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/025/SRR14180025	
SRR14180027	SAMN18651912	SRX10548199	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/027/SRR14180027/SRR14180027_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/027/SRR14180027/SRR14180027_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/027/SRR14180027	
SRR14180028	SAMN18651911	SRX10548198	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/028/SRR14180028/SRR14180028_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/028/SRR14180028/SRR14180028_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/028/SRR14180028	
SRR14180029	SAMN18651910	SRX10548197	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/029/SRR14180029/SRR14180029_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/029/SRR14180029/SRR14180029_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/029/SRR14180029	
SRR14180030	SAMN18651835	SRX10548196	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/030/SRR14180030/SRR14180030_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/030/SRR14180030/SRR14180030_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/030/SRR14180030	
SRR14180032	SAMN18651762	SRX10548194	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/032/SRR14180032/SRR14180032_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/032/SRR14180032/SRR14180032_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/032/SRR14180032	
SRR14180033	SAMN18651833	SRX10548193	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/033/SRR14180033/SRR14180033_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/033/SRR14180033/SRR14180033_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/033/SRR14180033	
